ncap,seed,H,gini,alive,ratio_sg,share_rate,quadrant
226,20001,0.6009,0.0795,211,0.2942,0.1201,Utopia
226,20002,1.0188,0.2164,217,0.0004,0.0003,Type_B
226,20003,0.9486,0.2928,225,0.3823,0.2697,Type_A
226,20004,1.3955,0.329,224,0.1922,0.1146,Roma
226,20005,0.8016,0.0787,224,0.5457,0.2007,Utopia
226,20006,0.7518,0.0802,215,0.5049,0.1802,Utopia
226,20007,1.1481,0.2634,213,3.0743,0.5394,Type_B
226,20008,0.938,0.2282,226,0.3198,0.2357,Utopia
226,20009,0.9555,0.2945,226,0.3738,0.2644,Type_A
226,20010,0.3147,0.045,226,0.0003,0.0002,Utopia
226,20011,1.0413,0.3842,226,0.5663,0.346,Roma
226,20012,1.5057,0.428,226,0.3561,0.1649,Roma
226,20013,0.0186,0.0366,179,0.0002,0.0001,Utopia
226,20014,0.9002,0.095,215,0.7942,0.2497,Utopia
226,20015,1.0731,0.1395,197,2.2217,0.4526,Type_B
226,20016,1.2021,0.1225,225,1.0291,0.4072,Type_B
226,20017,0.885,0.2678,223,0.3065,0.2282,Utopia
226,20018,1.1009,0.2487,191,4.1655,0.5261,Type_B
226,20019,0.8927,0.256,226,0.2913,0.2187,Utopia
226,20020,1.3574,0.3285,222,0.1927,0.1155,Roma
226,20021,0.9406,0.2823,226,0.3472,0.2453,Type_A
226,20022,0.6718,0.0743,223,0.3706,0.1433,Utopia
226,20023,0.9411,0.2533,192,5.8762,0.6761,Utopia
226,20024,1.6411,0.5565,221,0.6784,0.26,Roma
226,20025,0.3206,0.6543,201,0.0014,0.0003,Type_A
226,20026,0.6351,0.0771,212,0.2871,0.1167,Utopia
226,20027,1.5116,0.5734,225,0.5247,0.1649,Roma
226,20028,0.8937,0.2524,226,0.2834,0.2136,Utopia
226,20029,1.5651,0.4343,191,0.4394,0.2262,Roma
226,20030,0.6846,0.0818,216,0.3956,0.1651,Utopia
226,20031,0.845,0.0891,219,0.6437,0.2205,Utopia
226,20032,0.725,0.0951,210,0.4055,0.1656,Utopia
226,20033,1.6214,0.5426,215,0.619,0.2463,Roma
226,20034,0.6369,0.0787,213,0.3058,0.1239,Utopia
226,20035,1.5056,0.5435,211,0.4313,0.1427,Roma
226,20036,1.077,0.4382,224,0.8002,0.4306,Roma
226,20038,1.0385,0.4357,216,0.7721,0.4259,Roma
226,20039,0.2266,0.0458,225,0.0002,0.0002,Utopia
226,20040,1.0098,0.0911,226,0.5364,0.2691,Type_B
226,20041,1.3861,0.345,218,0.2609,0.1619,Roma
226,20042,1.6722,0.5553,218,0.7134,0.266,Roma
226,20043,1.1406,0.1743,190,2.0228,0.5107,Type_B
226,20044,1.006,0.1163,223,0.7545,0.3101,Type_B
226,20045,1.7811,0.4458,224,0.1771,0.0834,Roma
226,20046,1.6098,0.4999,226,0.6008,0.2403,Roma
226,20047,1.5977,0.4361,204,0.4852,0.2398,Roma
226,20048,0.8714,0.0944,214,0.7058,0.2242,Utopia
226,20049,0.0188,0.0408,171,0.0002,0.0002,Utopia
226,20050,0.8942,0.2667,222,0.3093,0.2302,Utopia
226,20051,1.0139,0.3902,225,0.5752,0.3525,Roma
226,20052,1.1851,0.1217,226,1.1017,0.42,Type_B
226,20054,1.1298,0.331,206,3.3411,0.5766,Roma
226,20055,0.6244,0.0768,211,0.2961,0.1193,Utopia
226,20056,1.0385,0.1909,201,2.7731,0.5587,Type_B
226,20057,0.8809,0.2633,223,0.2947,0.2214,Utopia
226,20058,0.5352,0.0713,226,0.2048,0.0864,Utopia
226,20059,0.6185,0.0769,212,0.3147,0.1291,Utopia
228,20000,0.9069,0.2583,228,0.3048,0.2264,Utopia
228,20001,0.905,0.2665,228,0.3159,0.2328,Utopia
228,20002,1.8577,0.4367,227,0.2529,0.1174,Roma
228,20003,1.083,0.4348,221,0.7903,0.4278,Roma
228,20004,0.3045,0.0446,228,0.0002,0.0001,Utopia
228,20005,1.063,0.4263,228,0.6681,0.3841,Roma
228,20006,1.0525,0.3785,222,0.6158,0.3702,Roma
228,20008,1.5578,0.4374,228,0.371,0.1666,Roma
228,20009,0.8341,0.0878,219,0.5926,0.2119,Utopia
228,20010,0.8142,0.1768,223,0.2296,0.1827,Utopia
228,20011,0.6892,0.0728,227,0.4264,0.155,Utopia
